0,"execCode(h1, root): CVE-2021-32075 CVE-2020-16898",AND,0
1,"execCode(h2, root): CVE-2021-26855 CVE-2021-3129",AND,0
2,"execCode(h3, root): CVE-2021-22570",AND,0
6,"execCode(h7, root): CVE-2020-8516 CVE-2020-8558",AND,0
7,"execCode(h8, root): CVE-2021-3129",AND,0
8,"execCode(h9, root): CVE-2021-22556",AND,0
9,"execCode(h10, root): CVE-2021-23214 CVE-2020-16898",AND,0
10,"execCode(h11, root): CVE-2021-27067",AND,0
11,"execCode(h12, root): CVE-2020-14144 CVE-2021-21234",AND,0
14,"execCode(h15, root): CVE-2020-7960 CVE-2020-11990",AND,0
15,"execCode(h16, root): CVE-2020-16898 CVE-2021-28169",AND,0
17,"execCode(h18, root): CVE-2020-11083 CVE-2021-30129",AND,0
19,"execCode(h20, root): CVE-2021-27067",AND,0
22,"execCode(h23, root): CVE-2020-13934",AND,0
25,"execCode(h26, root): CVE-2020-26140",AND,0
27,"execCode(h28, root): CVE-2021-20226",AND,0
28,"execCode(h29, root): CVE-2021-30132 CVE-2020-24614",AND,0
32,"execCode(h33, root): CVE-2020-14145",AND,0
36,"execCode(h37, root): CVE-2021-28168 CVE-2020-11989",AND,0
41,"execCode(h42, root): CVE-2019-0604 CVE-2021-22570",AND,0
44,"execCode(h45, root): CVE-2021-22569 CVE-2021-32074",AND,0
45,"execCode(h46, root): CVE-2021-26851 CVE-2021-24498",AND,0
47,"execCode(h48, root): CVE-2021-1234",AND,0
49,"execCode(h50, root): CVE-2021-20226",AND,0
51,"execCode(h52, root): CVE-2020-15999",AND,0
52,"execCode(h53, root): CVE-2021-28851",AND,0
55,"execCode(h56, root): CVE-2021-33910",AND,0
57,"execCode(h58, root): CVE-2018-4939",AND,0
58,"execCode(h59, root): CVE-2021-33910",AND,0
59,"execCode(h60, root): CVE-2020-11738",AND,0
65,"execCode(h66, root): CVE-2021-22556",AND,0
67,"execCode(h68, root): CVE-2020-27238 CVE-2021-34483",AND,0
69,"execCode(h70, root): CVE-2020-12625 CVE-2020-16893",AND,0
71,"execCode(h72, root): CVE-2021-30130",AND,0
73,"execCode(h74, root): CVE-2021-32074 CVE-2021-22556",AND,0
74,"execCode(h75, root): CVE-2018-4939",AND,0
75,"execCode(h76, root): CVE-2021-45046",AND,0
77,"execCode(h78, root): CVE-2020-16000",AND,0
79,"execCode(h80, root): CVE-2020-11083",AND,0
84,"execCode(h85, root): CVE-2021-27065 CVE-2021-1235",AND,0
85,"execCode(h86, root): CVE-2021-32074",AND,0
87,"execCode(h88, root): CVE-2020-1236",AND,0
88,"execCode(h89, root): CVE-2021-40346 CVE-2021-33910",AND,0
91,"execCode(h92, root): CVE-2021-37583",AND,0
92,"execCode(h93, root): CVE-2020-27239",AND,0
94,"execCode(h95, root): CVE-2020-7960",AND,0
96,"execCode(h97, root): CVE-2020-11083",AND,0
98,"execCode(h99, root): CVE-2020-14644",AND,0
