4,"execCode(h5, root): CVE-2020-14645 CVE-2020-13777",AND,0
5,"execCode(h6, root): CVE-2021-22569",AND,0
6,"execCode(h7, root): CVE-2020-8516 CVE-2020-8558",AND,0
7,"execCode(h8, root): CVE-2021-3129",AND,0
10,"execCode(h11, root): CVE-2021-27067",AND,0
12,"execCode(h13, root): CVE-2020-16893",AND,0
13,"execCode(h14, root): CVE-2021-21234",AND,0
14,"execCode(h15, root): CVE-2020-7960 CVE-2020-11990",AND,0
15,"execCode(h16, root): CVE-2020-16898 CVE-2021-28169",AND,0
16,"execCode(h17, root): CVE-2020-1234",AND,0
18,"execCode(h19, root): CVE-2021-23840 CVE-2021-28156",AND,0
20,"execCode(h21, root): CVE-2021-20225",AND,0
22,"execCode(h23, root): CVE-2020-13934",AND,0
23,"execCode(h24, root): CVE-2020-8557",AND,0
24,"execCode(h25, root): CVE-2021-20225 CVE-2020-9488",AND,0
26,"execCode(h27, root): CVE-2020-16892 CVE-2018-4939",AND,0
31,"execCode(h32, root): CVE-2020-27238",AND,0
32,"execCode(h33, root): CVE-2020-14145",AND,0
33,"execCode(h34, root): CVE-2021-44512",AND,0
37,"execCode(h38, root): CVE-2020-14644",AND,0
38,"execCode(h39, root): CVE-2021-32075",AND,0
39,"execCode(h40, root): CVE-2020-12624",AND,0
42,"execCode(h43, root): CVE-2020-26140 CVE-2020-13933",AND,0
43,"execCode(h44, root): CVE-2021-1234",AND,0
48,"execCode(h49, root): CVE-2020-25695",AND,0
50,"execCode(h51, root): CVE-2020-9488",AND,0
53,"execCode(h54, root): CVE-2021-21898 CVE-2020-15999",AND,0
54,"execCode(h55, root): CVE-2021-28150",AND,0
56,"execCode(h57, root): CVE-2021-31166 CVE-2021-45046",AND,0
58,"execCode(h59, root): CVE-2021-33910",AND,0
60,"execCode(h61, root): CVE-2021-28169 CVE-2021-22557",AND,0
61,"execCode(h62, root): CVE-2020-27239",AND,0
62,"execCode(h63, root): CVE-2020-11989 CVE-2020-1235",AND,0
63,"execCode(h64, root): CVE-2020-7960 CVE-2020-26140",AND,0
64,"execCode(h65, root): CVE-2020-13934 CVE-2021-34483",AND,0
65,"execCode(h66, root): CVE-2021-22556",AND,0
72,"execCode(h73, root): CVE-2020-24615",AND,0
76,"execCode(h77, root): CVE-2020-16898",AND,0
78,"execCode(h79, root): CVE-2020-16892 CVE-2020-1938",AND,0
80,"execCode(h81, root): CVE-2021-30609 CVE-2021-30129",AND,0
81,"execCode(h82, root): CVE-2020-1938 CVE-2020-27239",AND,0
83,"execCode(h84, root): CVE-2021-33910",AND,0
87,"execCode(h88, root): CVE-2020-1236",AND,0
89,"execCode(h90, root): CVE-2021-26851",AND,0
90,"execCode(h91, root): CVE-2021-30132",AND,0
93,"execCode(h94, root): CVE-2021-28169 CVE-2020-15505",AND,0
95,"execCode(h96, root): CVE-2021-22556 CVE-2020-13934",AND,0
96,"execCode(h97, root): CVE-2020-11083",AND,0
97,"execCode(h98, root): CVE-2021-23879 CVE-2020-8517",AND,0
99,"execCode(h100, root): CVE-2021-26858 CVE-2020-7961",AND,0
